Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2001-01-11,03,20.000000,39.000000,33.000000,49.000000,30.000000,23.000000,28.000000,21.000000
2001-01-11,04,19.000000,43.000000,32.000000,54.000000,30.000000,22.000000,29.000000,26.000000
2001-01-11,05,19.000000,37.000000,35.000000,52.000000,26.000000,23.000000,30.000000,25.000000
2001-01-11,06,19.000000,43.000000,31.000000,52.000000,27.000000,24.000000,25.000000,25.000000
2001-01-11,07,18.000000,36.000000,40.000000,55.000000,25.000000,24.000000,24.000000,31.000000
2001-01-11,08,18.000000,54.000000,48.000000,57.000000,30.000000,23.000000,28.000000,37.000000
2001-01-11,09,18.000000,105.000000,50.000000,55.000000,36.000000,22.000000,32.000000,77.000000
2001-01-11,10,18.000000,110.000000,37.000000,51.000000,44.000000,20.000000,11.000000,57.000000
2001-01-11,11,19.000000,43.000000,35.000000,51.000000,30.000000,18.000000,,36.000000
2001-01-11,12,20.000000,38.000000,36.000000,47.000000,33.000000,16.000000,,29.000000
2001-01-11,13,18.000000,36.000000,31.000000,49.000000,30.000000,16.000000,,29.000000
2001-01-11,14,19.000000,40.000000,34.000000,53.000000,39.000000,18.000000,,31.000000
2001-01-11,15,18.000000,39.000000,34.000000,63.000000,33.000000,19.000000,,28.000000
2001-01-11,16,19.000000,41.000000,32.000000,69.000000,39.000000,18.000000,,26.000000
2001-01-11,17,18.000000,44.000000,34.000000,70.000000,53.000000,18.000000,,25.000000
2001-01-11,18,19.000000,59.000000,38.000000,65.000000,39.000000,18.000000,,25.000000
2001-01-11,19,19.000000,81.000000,47.000000,70.000000,46.000000,33.000000,,43.000000
2001-01-11,20,19.000000,106.000000,51.000000,74.000000,49.000000,42.000000,,48.000000
2001-01-11,21,17.000000,74.000000,45.000000,72.000000,45.000000,42.000000,,50.000000
2001-01-11,22,18.000000,79.000000,42.000000,74.000000,44.000000,39.000000,,57.000000
2001-01-11,23,18.000000,77.000000,41.000000,67.000000,47.000000,36.000000,,57.000000
2001-01-12,00,17.000000,73.000000,41.000000,70.000000,44.000000,38.000000,,49.000000
2001-01-12,01,20.000000,63.000000,41.000000,67.000000,42.000000,36.000000,,51.000000
2001-01-12,02,16.000000,72.000000,42.000000,69.000000,45.000000,34.000000,,46.000000
2001-01-12,03,19.000000,52.000000,36.000000,67.000000,46.000000,30.000000,,44.000000
2001-01-12,04,17.000000,60.000000,38.000000,69.000000,42.000000,28.000000,,34.000000
2001-01-12,05,19.000000,49.000000,39.000000,66.000000,41.000000,30.000000,,33.000000
2001-01-12,06,18.000000,47.000000,37.000000,61.000000,38.000000,27.000000,,33.000000
2001-01-12,07,18.000000,48.000000,34.000000,59.000000,36.000000,26.000000,,44.000000
2001-01-12,08,17.000000,53.000000,37.000000,68.000000,39.000000,27.000000,,53.000000
2001-01-12,09,18.000000,98.000000,45.000000,83.000000,53.000000,23.000000,,87.000000
2001-01-12,10,18.000000,99.000000,54.000000,87.000000,41.000000,25.000000,,108.000000
2001-01-12,11,19.000000,109.000000,92.000000,75.000000,34.000000,26.000000,,110.000000
2001-01-12,12,19.000000,115.000000,80.000000,52.000000,28.000000,35.000000,,40.000000
2001-01-12,13,20.000000,74.000000,50.000000,54.000000,26.000000,25.000000,,26.000000
2001-01-12,14,19.000000,56.000000,44.000000,53.000000,21.000000,20.000000,,20.000000
2001-01-12,15,20.000000,29.000000,40.000000,52.000000,20.000000,15.000000,36.000000,17.000000
2001-01-12,16,18.000000,38.000000,41.000000,52.000000,21.000000,16.000000,39.000000,20.000000
2001-01-12,17,21.000000,53.000000,37.000000,53.000000,21.000000,19.000000,39.000000,26.000000
2001-01-12,18,18.000000,41.000000,36.000000,60.000000,25.000000,22.000000,43.000000,27.000000
2001-01-12,19,20.000000,41.000000,34.000000,59.000000,31.000000,20.000000,45.000000,30.000000
2001-01-12,20,19.000000,48.000000,35.000000,59.000000,33.000000,20.000000,39.000000,27.000000
2001-01-12,21,18.000000,45.000000,34.000000,59.000000,32.000000,24.000000,40.000000,24.000000
